x,y,z,orientation,length,width,height
2800,2300,0,XY,200,100,100
3000,2300,0,XY,200,100,100
3200,2300,0,XY,200,100,100
3400,2300,0,XY,200,100,100
3600,2300,0,XY,200,100,100
3800,2300,0,XY,200,100,100
4000,2300,0,XY,200,100,100
0,2400,0,XY,200,100,100
200,2400,0,XY,200,100,100
400,2400,0,XY,200,100,100
600,2400,0,XY,200,100,100
800,2400,0,XY,200,100,100
1000,2400,0,XY,200,100,100
1200,2400,0,XY,200,100,100
1400,2400,0,XY,200,100,100
1600,2400,0,XY,200,100,100
1800,2400,0,XY,200,100,100
2000,2400,0,XY,200,100,100
2200,2400,0,XY,200,100,100
2400,2400,0,XY,200,100,100
2600,2400,0,XY,200,100,100
2800,2400,0,XY,200,100,100
3000,2400,0,XY,200,100,100
3200,2400,0,XY,200,100,100
3400,2400,0,XY,200,100,100
3600,2400,0,XY,200,100,100
3800,2400,0,XY,200,100,100
4000,2400,0,XY,200,100,100
0,2500,0,XY,200,100,100
200,2500,0,XY,200,100,100
400,2500,0,XY,200,100,100
600,2500,0,XY,200,100,100
800,2500,0,XY,200,100,100
1000,2500,0,XY,200,100,100
1200,2500,0,XY,200,100,100
1400,2500,0,XY,200,100,100
1600,2500,0,XY,200,100,100
1800,2500,0,XY,200,100,100
2000,2500,0,XY,200,100,100
2200,2500,0,XY,200,100,100
2400,2500,0,XY,200,100,100
2600,2500,0,XY,200,100,100
2800,2500,0,XY,200,100,100
3000,2500,0,XY,200,100,100
3200,2500,0,XY,200,100,100
3400,2500,0,XY,200,100,100
3600,2500,0,XY,200,100,100
3800,2500,0,XY,200,100,100
4000,2500,0,XY,200,100,100
0,2600,0,XY,200,100,100
200,2600,0,XY,200,100,100
400,2600,0,XY,200,100,100
600,2600,0,XY,200,100,100
800,2600,0,XY,200,100,100
1000,2600,0,XY,200,100,100
1200,2600,0,XY,200,100,100
1400,2600,0,XY,200,100,100
1600,2600,0,XY,200,100,100
1800,2600,0,XY,200,100,100
2000,2600,0,XY,200,100,100
2200,2600,0,XY,200,100,100
2400,2600,0,XY,200,100,100
2600,2600,0,XY,200,100,100
2800,2600,0,XY,200,100,100
3000,2600,0,XY,200,100,100
3200,2600,0,XY,200,100,100
3400,2600,0,XY,200,100,100
3600,2600,0,XY,200,100,100
3800,2600,0,XY,200,100,100
4000,2600,0,XY,200,100,100
0,2700,0,XY,200,100,100
200,2700,0,XY,200,100,100
400,2700,0,XY,200,100,100
600,2700,0,XY,200,100,100
800,2700,0,XY,200,100,100
1000,2700,0,XY,200,100,100
1200,2700,0,XY,200,100,100
1400,2700,0,XY,200,100,100
1600,2700,0,XY,200,100,100
1800,2700,0,XY,200,100,100
2000,2700,0,XY,200,100,100
2200,2700,0,XY,200,100,100
2400,2700,0,XY,200,100,100
2600,2700,0,XY,200,100,100
2800,2700,0,XY,200,100,100
3000,2700,0,XY,200,100,100
3200,2700,0,XY,200,100,100
3400,2700,0,XY,200,100,100
3600,2700,0,XY,200,100,100
3800,2700,0,XY,200,100,100
4000,2700,0,XY,200,100,100
0,2800,0,XY,200,100,100
200,2800,0,XY,200,100,100
400,2800,0,XY,200,100,100
600,2800,0,XY,200,100,100
800,2800,0,XY,200,100,100
1000,2800,0,XY,200,100,100
1200,2800,0,XY,200,100,100
1400,2800,0,XY,200,100,100
1600,2800,0,XY,200,100,100
1800,2800,0,XY,200,100,100
2000,2800,0,XY,200,100,100
2200,2800,0,XY,200,100,100
2400,2800,0,XY,200,100,100
2600,2800,0,XY,200,100,100
2800,2800,0,XY,200,100,100
3000,2800,0,XY,200,100,100
3200,2800,0,XY,200,100,100
3400,2800,0,XY,200,100,100
3600,2800,0,XY,200,100,100
3800,2800,0,XY,200,100,100
4000,2800,0,XY,200,100,100
0,2900,0,XY,200,100,100
200,2900,0,XY,200,100,100
400,2900,0,XY,200,100,100
600,2900,0,XY,200,100,100
800,2900,0,XY,200,100,100
1000,2900,0,XY,200,100,100
1200,2900,0,XY,200,100,100
1400,2900,0,XY,200,100,100
1600,2900,0,XY,200,100,100
1800,2900,0,XY,200,100,100
2000,2900,0,XY,200,100,100
2200,2900,0,XY,200,100,100
2400,2900,0,XY,200,100,100
2600,2900,0,XY,200,100,100
2800,2900,0,XY,200,100,100
3000,2900,0,XY,200,100,100
3200,2900,0,XY,200,100,100
3400,2900,0,XY,200,100,100
3600,2900,0,XY,200,100,100
3800,2900,0,XY,200,100,100
4000,2900,0,XY,200,100,100
0,3000,0,XY,200,100,100
200,3000,0,XY,200,100,100
400,3000,0,XY,200,100,100
600,3000,0,XY,200,100,100
800,3000,0,XY,200,100,100
1000,3000,0,XY,200,100,100
1200,3000,0,XY,200,100,100
1400,3000,0,XY,200,100,100
1600,3000,0,XY,200,100,100
1800,3000,0,XY,200,100,100
2000,3000,0,XY,200,100,100
2200,3000,0,XY,200,100,100
2400,3000,0,XY,200,100,100
2600,3000,0,XY,200,100,100
2800,3000,0,XY,200,100,100
3000,3000,0,XY,200,100,100
3200,3000,0,XY,200,100,100
3400,3000,0,XY,200,100,100
3600,3000,0,XY,200,100,100
3800,3000,0,XY,200,100,100
4000,3000,0,XY,200,100,100
0,3100,0,XY,200,100,100
200,3100,0,XY,200,100,100
400,3100,0,XY,200,100,100
600,3100,0,XY,200,100,100
800,3100,0,XY,200,100,100
1000,3100,0,XY,200,100,100
1200,3100,0,XY,200,100,100
1400,3100,0,XY,200,100,100
1600,3100,0,XY,200,100,100
1800,3100,0,XY,200,100,100
2000,3100,0,XY,200,100,100
2200,3100,0,XY,200,100,100
2400,3100,0,XY,200,100,100
2600,3100,0,XY,200,100,100
2800,3100,0,XY,200,100,100
3000,3100,0,XY,200,100,100
3200,3100,0,XY,200,100,100
3400,3100,0,XY,200,100,100
3600,3100,0,XY,200,100,100
3800,3100,0,XY,200,100,100
4000,3100,0,XY,200,100,100
0,3200,0,XY,200,100,100
200,3200,0,XY,200,100,100
400,3200,0,XY,200,100,100
600,3200,0,XY,200,100,100
800,3200,0,XY,200,100,100
1000,3200,0,XY,200,100,100
1200,3200,0,XY,200,100,100
1400,3200,0,XY,200,100,100
1600,3200,0,XY,200,100,100
1800,3200,0,XY,200,100,100
2000,3200,0,XY,200,100,100
2200,3200,0,XY,200,100,100
2400,3200,0,XY,200,100,100
2600,3200,0,XY,200,100,100
2800,3200,0,XY,200,100,100
3000,3200,0,XY,200,100,100
3200,3200,0,XY,200,100,100
3400,3200,0,XY,200,100,100
3600,3200,0,XY,200,100,100
3800,3200,0,XY,200,100,100
4000,3200,0,XY,200,100,100
0,3300,0,XY,200,100,100
200,3300,0,XY,200,100,100
400,3300,0,XY,200,100,100
600,3300,0,XY,200,100,100
800,3300,0,XY,200,100,100
1000,3300,0,XY,200,100,100
1200,3300,0,XY,200,100,100
1400,3300,0,XY,200,100,100
1600,3300,0,XY,200,100,100
1800,3300,0,XY,200,100,100
2000,3300,0,XY,200,100,100
2200,3300,0,XY,200,100,100
2400,3300,0,XY,200,100,100
2600,3300,0,XY,200,100,100
2800,3300,0,XY,200,100,100
3000,3300,0,XY,200,100,100
3200,3300,0,XY,200,100,100
3400,3300,0,XY,200,100,100
3600,3300,0,XY,200,100,100
3800,3300,0,XY,200,100,100
4000,3300,0,XY,200,100,100
0,3400,0,XY,200,100,100
200,3400,0,XY,200,100,100
400,3400,0,XY,200,100,100
600,3400,0,XY,200,100,100
800,3400,0,XY,200,100,100
1000,3400,0,XY,200,100,100
1200,3400,0,XY,200,100,100
1400,3400,0,XY,200,100,100
1600,3400,0,XY,200,100,100
1800,3400,0,XY,200,100,100
2000,3400,0,XY,200,100,100
